symbol,date,wert,VORJAHRESWERT,VERAEND_VORMONAT_PROZENT,VERAEND_VORJAHRESMONAT_PROZENT,ZWOELF_MONATE_MITTELWERT
MÃ¼nchner Stadtmuseum,Apr 2016,14229,12844,"-26,21","10,78",12418
MÃ¼nchner Stadtmuseum,May 2016,14844,13860,"4,32","7,1",12500
MÃ¼nchner Stadtmuseum,Jun 2016,12969,10369,"-12,63","25,07",12717
MÃ¼nchner Stadtmuseum,Jul 2016,9631,7415,"-25,74","29,89",12902
MÃ¼nchner Stadtmuseum,Aug 2016,5799,9003,"-39,79","-35,59",12635
MÃ¼nchner Stadtmuseum,Sep 2016,13313,10183,"129,57","30,74",12895
MÃ¼nchner Stadtmuseum,Oct 2016,17388,12674,"30,61","37,19",13288
MÃ¼nchner Stadtmuseum,Nov 2016,21139,12991,"21,57","62,72",13967
MÃ¼nchner Stadtmuseum,Dec 2016,11252,9791,"-46,77","14,92",14089
Deutsches Museum - Verkehrszentrum,Jan 2012,10837,10319,"58,81","5,02",8018
Deutsches Museum - Verkehrszentrum,Feb 2012,8725,7784,"-19,49","12,09",8096
Deutsches Museum - Verkehrszentrum,Mar 2012,6328,7292,"-27,47","-13,22",8016
Deutsches Museum - Verkehrszentrum,Apr 2012,11882,6413,"87,77","85,28",8472
Deutsches Museum - Verkehrszentrum,May 2012,6651,5162,"-44,02","28,85",8596
Deutsches Museum - Verkehrszentrum,Jun 2012,7704,10378,"15,83","-25,77",8373
Deutsches Museum - Verkehrszentrum,Jul 2012,9775,11677,"26,88","-16,29",8215
Deutsches Museum - Verkehrszentrum,Aug 2012,8257,10536,"-15,53","-21,63",8025
Deutsches Museum - Verkehrszentrum,Sep 2012,6616,5370,"-19,87","23,2",8129
Deutsches Museum - Verkehrszentrum,Oct 2012,8607,7838,"30,09","9,81",8193
Deutsches Museum - Verkehrszentrum,Nov 2012,6857,6105,"-20,33","12,32",8255
Deutsches Museum - Verkehrszentrum,Dec 2012,8230,6824,"20,02","20,6",8372
Deutsches Museum - Verkehrszentrum,Jan 2013,9330,10837,"13,37","-13,91",8247
Deutsches Museum - Verkehrszentrum,Feb 2013,8135,8725,"-12,81","-6,76",8198
Deutsches Museum - Verkehrszentrum,Mar 2013,11907,6328,"46,37","88,16",8663
Deutsches Museum - Verkehrszentrum,Apr 2013,11393,11882,"-4,32","-4,12",8622
Deutsches Museum - Verkehrszentrum,May 2013,16435,6651,"44,26","147,11",9437
Deutsches Museum - Verkehrszentrum,Jun 2013,8729,7704,"-46,89","13,3",9523
Deutsches Museum - Verkehrszentrum,Jul 2013,7234,9775,"-17,13","-25,99",9311
Deutsches Museum - Verkehrszentrum,Aug 2013,11881,8257,"64,24","43,89",9613
Deutsches Museum - Verkehrszentrum,Sep 2013,7534,6616,"-36,59","13,88",9689
Deutsches Museum - Verkehrszentrum,Oct 2013,9218,8607,"22,35","7,1",9740
Deutsches Museum - Verkehrszentrum,Nov 2013,9459,6857,"2,61","37,95",9957
Deutsches Museum - Verkehrszentrum,Dec 2013,7806,8230,"-17,48","-5,15",9922
Deutsches Museum - Verkehrszentrum,Jan 2014,11213,9330,"43,65","20,18",10079
Deutsches Museum - Verkehrszentrum,Feb 2014,7354,8135,"-34,42","-9,6",10014
Deutsches Museum - Verkehrszentrum,Mar 2014,7766,11907,"5,6","-34,78",9669
Deutsches Museum - Verkehrszentrum,Apr 2014,8438,11393,"8,65","-25,94",9422
Deutsches Museum - Verkehrszentrum,May 2014,7677,16435,"-9,02","-53,29",8692
Deutsches Museum - Verkehrszentrum,Jun 2014,6198,8729,"-19,27",-29,8482
Deutsches Museum - Verkehrszentrum,Jul 2014,9970,7234,"60,86","37,82",8710
Deutsches Museum - Verkehrszentrum,Aug 2014,14909,11881,"49,54","25,49",8962
Deutsches Museum - Verkehrszentrum,Sep 2014,7723,7534,"-48,2","2,51",8978
Deutsches Museum - Verkehrszentrum,Oct 2014,10941,9218,"41,67","18,69",9121
Deutsches Museum - Verkehrszentrum,Nov 2014,8848,9459,"-19,13","-6,46",9070
Deutsches Museum - Verkehrszentrum,Dec 2014,7254,7806,"-18,02","-7,07",9024
Deutsches Museum - Verkehrszentrum,Jan 2015,11761,11213,"62,13","4,89",9070
Deutsches Museum - Verkehrszentrum,Feb 2015,8555,7354,"-27,26","16,33",9170
Deutsches Museum - Verkehrszentrum,Mar 2015,9972,7766,"16,56","28,41",9354
Deutsches Museum - Verkehrszentrum,Apr 2015,8751,8438,"-12,24","3,71",9380
Deutsches Museum - Verkehrszentrum,May 2015,11831,7677,"35,2","54,11",9726
Deutsches Museum - Verkehrszentrum,Jun 2015,5889,6198,"-50,22","-4,99",9700
Deutsches Museum - Verkehrszentrum,Jul 2015,6243,9970,"6,01","-37,38",9390
Deutsches Museum - Verkehrszentrum,Aug 2015,10939,14909,"75,22","-26,63",9059
Deutsches Museum - Verkehrszentrum,Sep 2015,6959,7723,"-36,38","-9,89",8995
Deutsches Museum - Verkehrszentrum,Oct 2015,12003,10941,"72,48","9,71",9084
Deutsches Museum - Verkehrszentrum,Nov 2015,8400,8848,"-30,02","-5,06",9046
Deutsches Museum - Verkehrszentrum,Dec 2015,6503,7254,"-22,58","-10,35",8984
Deutsches Museum - Verkehrszentrum,Jan 2016,12436,11761,"91,23","5,74",9040
Deutsches Museum - Verkehrszentrum,Feb 2016,9865,8555,"-20,67","15,31",9149
Deutsches Museum - Verkehrszentrum,Mar 2016,10078,9972,"2,16","1,06",9158
Deutsches Museum - Verkehrszentrum,Apr 2016,9117,8751,"-9,54","4,18",9189
Deutsches Museum - Verkehrszentrum,May 2016,10674,11831,"17,08","-9,78",9092
Deutsches Museum - Verkehrszentrum,Jun 2016,10458,5889,"-2,02","77,59",9473
Deutsches Museum - Verkehrszentrum,Jul 2016,9336,6243,"-10,73","49,54",9731
Deutsches Museum - Verkehrszentrum,Aug 2016,8934,10939,"-4,31","-18,33",9564
Deutsches Museum - Verkehrszentrum,Sep 2016,5317,6959,"-40,49","-23,6",9427
Deutsches Museum - Verkehrszentrum,Oct 2016,11978,12003,"125,28","-0,21",9425
Deutsches Museum - Verkehrszentrum,Nov 2016,10403,8400,"-13,15","23,85",9592
Deutsches Museum - Verkehrszentrum,Dec 2016,8199,6503,"-21,19","26,08",9733
Deutsches Museum - Museumsinsel,Jan 2012,74203,63670,"5,37","16,54",75570
Deutsches Museum - Museumsinsel,Feb 2012,64569,51769,"-12,98","24,73",76637
Deutsches Museum - Museumsinsel,Mar 2012,70486,68607,"9,16","2,74",76793
Deutsches Museum - Museumsinsel,Apr 2012,115341,78185,"63,64","47,52",79890
Deutsches Museum - Museumsinsel,May 2012,66398,51613,"-42,43","28,65",81122
Deutsches Museum - Museumsinsel,Jun 2012,78247,89667,"17,85","-12,74",80170
Deutsches Museum - Museumsinsel,Jul 2012,109202,116866,"39,56","-6,56",79531
